nama perusahaan ,Alamat,Modul pembelajaran
PT. Sintesis Komunikasi Indonesia ,"Jl. Cisanggiri V, No 6, Petogogan, Kebayoran Baru, Jakarta Selatan 12170",logika dan konsep teknologi AI metode penelitian AI Siklus projek AI Pemprograman Python 
Yayasan Sekolah Ekspor Nasional,"SMESCO Indonesia Jalan Jend Gatot Subroto No Kav 94, Jakarta 12780 dan Plaza De Espana Jalan Kalimantan No 27,  Kota Tangerang 15139, Provinsi  Banten",business matching digital marketing product development business reconnaissance digital business strategy export payment and financing shopment and documentation continuous improvement
PT Zona Edukasi Nusantara,"Graha Aktiva, Ground Floor Jalan HR Rasuna Said Kav. 03 East Kuningan, Setiabudi South Jakarta, 12950 Indonesia",machine learning data science phyton statistik database sql queryvisualisasi data analisis data 
PT Ruang Raya Indonesia,"Jl. Dr. Saharjo No.161, Manggarai Selatan, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860",software engineering web development pemprograman database management dan teknologi aplikasi web
PT Mitra Semeru Indonesia,"Jl. Mampang Prapatan Raya no 84A, Tegal Parang, Mampang Prapatan, Jakarta Selatan",teknologi digital teknologi informasi digital mindset leadership dan long lofe learning
Diah Lisdianti,"Jl. Tanjung Sari Raya, Banyumanik, Semarang",pemprograman aplikasi mobile machine learning text mining web service basis data terdistribusi pemprograman web
PT. IlmuKomputerCom Braindevs Sistema,"Menara Bidakara 1 Lantai 2, Jl. Gatot Subroto Kav. 71-73 Pancoran Jakarta Selatan 12870",systems analysis dan design team work communication skills time management requirement analysis 
PT Home Credit Indonesia,"Plaza Oleos Lantai 8 Jl. TB Simatupang No. 53A, Jakarta Selatan 12520",microsoft excel jurnal kerjasama tim adaptasi
"PT Bank Danamon Indonesia, Tbk","PT Bank Danamon Indonesia Tbk Menara Bank Danamon, Jl. HR. Rasuna Said, Blok C No. 10 Jakarta Selatan 12920 - Indonesia Ph. +62 21 8064 5000 Ext. 567",data analyst data engineer data scientist
PT Adi Sarana Armada Tbk,"Gedung Graha Kirana Lt 6, Jalan Yos Sudarso Kav. 88, Sunter, Jakarta Utara",analytical thinking service excellence planning dan controlling communication skill collaboration
PT Sembilan Matahari,"Jl. Muararajeun No. 26 RT 005 RW 011, Cihaurgeulis, Cibeunying Kaler, Bandung, Jawa Barat",advanced visualization rekayasa perangkat lunak dan keras basic visualization basic programming intermediate programming
